sample_id,severity,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,from_project,label,type_class,type_innerclass,type_interface
4432196,major,3,12,1,0,54,0.0,0.0,12,0,12,0,0,0,12,0,0,0,6,0,0,6,0,0,0,0,0,44,6,0,0,0,0,0,0,6,0,6,0,0,0,0,21,1,0,1,1,1.0,0.0,0.0
7391055,major,3,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,1,0,1,1,1.0,0.0,0.0
4687786,major,6,28,1,16,14,0.0,0.0,17,0,17,0,0,0,18,0,0,0,8,1,1,1,0,6,1,0,0,111,16,3,5,0,0,2,6,24,6,15,2,1,0,0,96,1,0,1,1,1.0,0.0,0.0
3797964,major,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,1,0,2,0,0,0,0,5,9,0,1,1,0.0,1.0,0.0
5339993,major,2,3,2,0,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,10,1,0,1,1,1.0,0.0,0.0
7689561,major,2,29,1,3,0,0.0,0.0,9,0,8,0,0,1,9,0,0,0,5,0,0,5,0,0,5,0,0,67,20,0,16,0,8,5,6,13,11,8,2,0,0,0,28,0,0,1,1,1.0,0.0,0.0
5589404,major,6,36,1,13,43,0.0,0.0,22,1,20,0,2,0,22,0,0,0,7,0,0,0,7,0,0,0,7,129,23,0,13,0,2,26,26,30,29,12,2,0,0,0,128,1025,0,1,1,1.0,0.0,0.0
8968865,major,1,3,1,0,0,0.0,0.0,3,0,1,0,0,2,3,0,0,0,3,0,0,0,0,3,0,0,0,19,1,0,0,0,0,1,0,8,0,3,0,0,1,0,26,1,0,1,1,1.0,0.0,0.0
6603072,major,2,8,3,0,20,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,4,0,4,0,4,0,0,0,0,35,1,0,1,1,1.0,0.0,0.0
7134420,major,3,8,1,3,0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,1,0,0,1,0,0,1,0,2,21,6,0,3,0,0,2,0,2,2,2,1,0,0,0,38,0,0,1,1,1.0,0.0,0.0
5575053,major,0,6,1,0,9,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,10,1,0,1,1,1.0,0.0,0.0
8537138,major,3,6,2,0,7,0.0,0.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,27,5,0,0,0,0,0,0,5,0,4,0,0,0,0,21,1,0,1,1,1.0,0.0,0.0
4468635,major,2,2,1,0,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,24,0,24,0,0,0,24,0,0,44,1,0,0,0,0,2,0,24,0,24,0,0,0,0,52,9,0,1,1,0.0,1.0,0.0
6785826,major,8,129,2,74,7995,0.0,0.0,127,0,127,0,0,0,127,0,0,0,3,2,2,0,0,1,2,0,2,464,126,2,0,0,0,114,0,5,0,4,1,1,0,0,90,9,0,1,1,0.0,1.0,0.0
6480563,major,0,27,1,2,299,0.0,0.0,26,0,26,0,0,0,26,0,0,0,13,0,0,13,0,0,0,0,0,96,14,0,1,0,0,0,9,25,1,13,1,0,0,0,91,1,0,1,1,1.0,0.0,0.0
5947006,major,5,2,1,0,0,,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,9,1,0,1,0,0,3,0,1,0,1,1,0,0,0,60,1,0,1,1,1.0,0.0,0.0
7330770,major,7,17,1,11,26,0.0,0.0,13,0,13,0,0,0,13,0,0,0,5,0,0,0,5,0,0,0,2,67,5,1,3,0,0,7,1,6,0,6,2,0,0,0,46,1,0,1,1,1.0,0.0,0.0
3797814,major,2,20,1,3,0,0.0,0.0,10,0,9,0,0,1,10,0,0,0,5,0,3,2,0,0,0,0,3,90,11,0,4,1,5,13,21,23,4,9,2,0,0,0,50,9,0,1,1,0.0,1.0,0.0
7276572,major,1,8,1,0,20,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,11,1,0,1,1,1.0,0.0,0.0
6165395,major,1,6,1,0,3,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,22,2,0,0,0,0,0,0,4,0,2,0,0,0,0,19,1,0,1,1,1.0,0.0,0.0
7457996,major,3,3,1,1,1,0.0,0.0,3,0,2,0,1,0,3,0,0,0,3,0,0,3,0,0,0,0,1,14,1,0,0,0,0,1,0,2,0,3,0,0,0,0,8,1,0,1,1,1.0,0.0,0.0
7324624,major,4,21,1,12,64,0.0,0.0,17,0,17,0,0,0,17,0,0,0,7,0,0,0,7,0,0,0,6,86,7,2,2,0,0,9,2,9,0,9,2,0,0,0,46,1,0,1,1,1.0,0.0,0.0
7369780,major,2,13,1,1,66,0.0,0.0,13,0,13,0,0,0,13,0,0,0,7,0,0,7,0,0,1,0,0,92,7,0,0,0,0,0,1,9,0,7,0,0,1,0,67,9,0,1,1,0.0,1.0,0.0
6634791,major,2,4,1,0,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,22,0,0,1,1,1.0,0.0,0.0
8441008,major,11,59,1,8,1480,0.0,0.0,56,0,56,0,0,0,56,0,0,0,26,0,0,26,0,0,0,0,2,207,31,0,1,1,0,37,5,39,2,26,1,0,0,0,283,1,0,1,1,1.0,0.0,0.0
5901667,major,1,7,1,0,21,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,26,6,0,0,0,0,0,1,2,0,2,0,0,0,0,23,17,0,1,1,1.0,0.0,0.0
