sample_id,severity,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc,from_project,label
4256584,major,0,65,1,1,5,7,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,1,1
8922371,major,0,733,3,15,14,71,0,1,2,14,0,0,1,7,0,0,0,6,7,0,3,0,0,0,5,1,0,0,1,1
8653310,major,0,105,10,7,73,24,1,6,3,73,0,0,1,3,1,0,1,0,9,0,3,0,0,0,32,1,0,1,1,1
4734605,major,0,929,6,4,28,20,0,6,5,28,0,0,1,1,0,0,3,1,7,1,1,0,0,1,39,2,2,0,0,1
4514232,major,0,100,15,23,19,65,0,20,1,19,1,1,2,12,0,12,21,4,28,5,3,0,0,0,58,33,0,0,1,1
4402431,major,0,448,4,2,12,15,1,3,3,12,1,1,0,0,0,0,0,0,3,0,1,0,0,0,16,9,0,0,1,1
6905182,major,0,312,8,17,8,106,12,18,3,8,0,0,0,6,4,0,12,14,26,18,3,0,0,0,61,2,0,1,1,1
9469461,major,0,185,0,12,12,37,2,1,2,12,0,0,1,0,1,0,16,0,2,7,4,0,0,0,52,2,1,1,1,1
3942097,major,0,173,10,8,24,45,0,12,4,24,1,4,2,1,2,0,4,2,16,1,3,0,0,0,42,10,0,0,1,1
7957449,major,0,22612,5,32,7,61,4,9,2,7,1,1,0,9,0,14,0,39,21,0,2,0,0,0,42,1,0,0,1,1
5939954,major,1,75,7,18,22,123,0,34,1,22,1,1,3,5,0,4,52,16,45,0,5,0,0,0,67,1,0,1,1,1
6299837,major,0,190,2,5,4,23,5,2,3,4,1,2,0,2,0,0,0,3,2,0,2,0,0,0,11,10,0,0,1,1
5602164,major,0,129,13,1,24,31,0,10,0,24,0,0,0,0,2,0,9,22,12,0,2,0,0,0,34,1,0,0,1,1
5456950,major,0,1069,2,5,1,3,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,9,0,0,1,1
7769131,major,0,125,6,10,10,43,0,9,2,10,1,2,1,3,1,0,8,1,9,0,2,0,0,0,37,1,0,0,1,1
5250124,major,0,540,4,6,16,18,0,1,1,16,0,0,0,3,0,0,0,1,1,0,1,0,0,0,19,1,0,0,1,1
5310114,major,0,2244,9,16,26,65,4,11,5,26,6,15,1,6,0,0,15,6,12,0,3,0,0,0,92,4,0,1,1,1
4784081,major,0,1004,2,1,4,6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,1
7777067,major,0,314,5,2,5,13,3,1,1,5,0,0,0,1,0,0,1,2,1,0,2,0,0,1,9,8,0,0,1,1
5950764,major,0,236,10,3,28,31,0,15,1,28,0,0,0,0,1,0,4,1,15,2,2,0,0,1,56,2,3,1,1,1
6863919,minor,0,73,16,9,22,44,5,7,2,22,1,1,1,2,0,1,0,1,7,0,2,1,0,1,38,17,0,0,1,1
9192832,minor,0,366,7,7,9,22,1,2,1,9,1,1,0,3,0,1,0,0,2,0,2,0,0,0,20,1,0,0,1,1
7581965,minor,0,505,3,12,15,39,6,3,1,15,0,0,0,3,2,0,7,0,4,4,3,0,0,0,51,9,3,1,1,1
8389037,minor,0,66,8,7,10,30,1,9,3,10,1,2,0,0,0,0,16,3,10,3,2,0,0,0,62,4,0,0,1,1
9301230,minor,1,1155,8,10,9,48,0,6,5,9,0,0,0,3,3,2,0,6,17,1,6,0,0,0,44,0,0,0,0,1
7355243,minor,0,607,6,4,12,25,1,3,2,12,0,0,0,0,0,0,3,0,3,0,1,1,0,0,30,2,0,1,1,1
9108325,minor,0,60,5,3,6,8,1,2,0,6,0,0,0,1,0,1,1,0,2,0,1,0,0,0,16,4,0,0,1,1
7205580,minor,0,528,8,5,8,21,1,4,1,8,1,1,1,0,1,0,1,1,5,0,3,0,0,0,36,1,1,0,1,1
4352708,minor,1,566,7,4,14,23,0,7,5,14,0,0,1,2,0,0,0,1,8,0,2,0,0,0,113,0,0,1,1,1
7870683,minor,0,80,6,13,20,53,1,7,1,20,2,1,1,6,1,0,23,3,9,0,2,0,0,0,65,2,6,1,1,1
5403624,minor,0,113,1,11,1,35,10,0,1,1,0,0,0,0,0,0,11,0,0,1,1,0,0,0,26,10,0,0,1,1
6318697,minor,0,112,4,1,10,17,0,1,2,10,2,1,0,0,0,0,0,0,2,0,0,0,0,0,22,4,0,0,1,1
4959879,minor,0,38,3,1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,9,0,1,1,1
8494231,minor,0,574,10,7,21,33,1,12,1,21,2,7,0,5,0,0,5,0,14,1,4,0,0,0,45,1,0,0,1,1
7085407,minor,0,285,9,6,14,33,2,2,1,14,0,0,0,3,0,0,0,0,15,0,2,0,0,0,51,1,0,1,1,1
7581956,minor,0,274,2,3,3,11,3,0,3,3,1,0,0,1,1,0,0,0,0,0,2,0,0,0,37,9,0,1,1,1
5207888,minor,0,332,3,2,12,15,1,5,1,12,0,0,1,0,0,0,0,0,5,0,1,0,0,0,13,2,0,0,1,1
4679336,minor,0,369,4,15,10,40,12,3,2,10,0,0,0,0,0,0,4,11,3,0,2,0,0,0,17,1,0,0,1,1
4523536,minor,0,344,3,3,10,18,0,5,5,10,3,4,1,2,0,1,3,1,5,0,1,0,0,0,25,2,0,0,1,1
6613457,minor,0,45,7,1,14,26,0,7,1,14,0,0,0,0,0,0,0,8,13,0,0,0,0,6,38,4,0,0,1,1
4933953,minor,0,543,3,15,15,45,2,9,2,15,4,2,0,9,1,2,4,4,13,4,3,0,0,0,38,1,1,1,1,1
4426200,minor,0,103,4,6,13,35,0,5,0,13,0,0,0,1,3,1,6,0,4,2,5,0,0,1,24,1,3,0,1,1
6036658,minor,0,626,3,5,3,14,0,2,0,3,0,0,2,2,0,2,0,0,2,0,2,0,0,0,10,0,0,0,1,1
3951549,minor,0,236,13,28,35,105,0,24,2,35,0,0,1,13,2,9,6,0,25,4,5,0,0,0,84,2,2,1,1,1
5117164,minor,0,198,5,10,12,37,0,1,0,12,0,0,1,2,2,0,8,4,1,4,4,0,0,0,35,1,1,0,1,1
8526436,minor,0,686,6,11,11,25,2,5,2,11,4,2,0,9,0,0,2,0,5,1,3,0,0,0,40,1,0,0,1,1
8861277,minor,0,523,5,9,10,34,1,3,1,10,0,0,0,2,1,0,2,0,4,0,3,0,0,0,30,1,2,0,1,1
5226222,minor,0,272,11,4,15,25,2,3,2,15,0,0,1,0,1,0,1,1,3,1,3,0,0,0,25,1,0,0,1,1
5355489,minor,0,211,3,11,18,46,1,5,4,18,0,0,2,3,1,0,2,2,5,2,4,0,0,0,29,2,0,0,1,1
5326926,minor,0,3110,10,6,64,53,1,7,1,64,3,1,3,2,0,0,0,2,7,0,1,0,0,0,32,1,0,1,1,1
7161584,minor,0,197,4,6,15,29,0,2,1,15,0,0,2,2,0,0,7,0,2,3,3,0,0,1,40,33,0,1,1,1
4484891,minor,0,138,7,1,11,11,0,2,0,11,0,0,0,0,0,0,4,9,2,0,0,0,0,0,14,2,0,0,1,1
3940072,minor,0,158,6,4,8,19,1,6,3,8,1,2,1,0,0,0,0,0,6,0,2,0,0,0,17,2,0,0,1,1
8934300,minor,0,415,8,8,17,35,4,14,1,17,0,0,0,5,0,0,0,3,14,1,1,0,0,0,33,1,0,0,1,1
8655527,minor,0,185,6,1,4,7,1,4,2,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,23,2,0,1,1,1
5340257,minor,0,398,3,5,5,17,3,3,5,5,1,2,0,1,1,0,0,3,3,0,2,0,0,0,25,1,0,0,1,1
8660273,minor,0,1963,17,14,25,53,0,13,3,25,1,1,2,4,1,0,11,0,19,2,3,0,0,0,56,1,0,0,1,1
8295253,minor,0,132,3,2,6,9,2,1,1,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,2,0,0,1,1
9023034,minor,0,211,13,8,16,33,1,9,2,16,0,0,0,5,0,3,2,1,13,0,3,0,0,0,27,2,0,0,1,1
6052388,minor,0,486,4,3,8,21,1,10,2,8,0,0,1,1,0,0,2,12,12,9,1,0,0,0,37,9,0,1,1,1
6430791,minor,0,503,13,2,16,18,0,2,1,16,0,0,0,0,1,0,7,3,2,0,1,0,0,0,27,2,1,0,1,1
7944714,minor,0,618,4,4,24,31,1,4,1,24,4,7,0,0,1,0,1,0,8,1,1,0,0,0,23,4,0,0,1,1
8095851,minor,0,230,11,5,11,21,5,2,6,11,1,1,0,0,0,2,0,0,2,0,1,0,0,0,22,1,0,0,1,1
3922485,minor,0,150,2,2,7,11,0,0,1,7,1,2,0,1,0,0,0,1,3,0,1,0,0,0,17,1,0,0,1,1
3807471,minor,0,353,3,3,6,12,1,0,6,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,7,1,0,0,1,1
7002844,none,0,61,2,1,5,6,1,2,1,5,0,0,0,0,0,0,1,1,3,0,0,0,0,0,29,9,0,1,1,0
4005583,none,0,1905,1,6,3,19,1,0,7,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,22,1,0,1,1,0
3964331,none,0,73,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,1,0
8201390,none,0,5714,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,1,0
5875574,none,0,362,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0
6029853,none,1,116,1,2,2,10,0,0,2,2,2,1,0,1,0,0,1,0,0,0,1,0,0,0,56,1,0,1,1,0
9320426,none,0,160,1,1,2,5,1,1,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,21,1,0,1,0,0
4550371,none,0,56,4,2,3,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,0,1,0
3992626,none,0,306,3,10,10,37,1,8,2,10,1,11,2,4,0,0,0,4,12,1,2,0,0,0,44,4,0,1,1,0
7879764,none,0,31,1,4,7,14,1,2,1,7,0,0,1,1,0,0,1,3,2,1,2,0,0,0,14,9,0,0,1,0
4445309,none,0,298,0,7,2,7,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,11,1,0,0,1,0
4691358,none,0,446,3,2,2,8,0,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,1,0,0,1,0
8148121,none,0,192,1,30,4,31,4,14,3,4,2,2,0,24,0,13,0,1,14,1,3,0,0,0,25,10,0,0,1,0
6243619,none,0,37,3,3,1,10,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,22,1,0,1,1,0
3930845,none,0,37772,2,2,1,8,0,0,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,4,2,0,0,1,0
7525975,none,0,147,2,7,9,23,2,3,1,9,0,0,1,1,0,0,5,0,5,0,2,0,0,0,41,0,0,1,1,0
7678894,none,0,81,1,1,2,5,1,1,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,0,1,0
4188059,none,1,55,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0
7563653,none,0,109,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0
5782140,none,0,4641,3,2,4,5,0,0,1,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,13,1,1,0,1,0
8051978,none,0,3811,1,3,6,19,2,1,0,6,1,6,0,0,1,0,0,0,1,0,3,0,0,0,22,17,0,0,1,0
5480114,none,0,470,5,12,13,32,0,3,1,13,0,0,1,2,1,1,14,0,4,9,2,0,0,0,50,2,0,0,1,0
9303905,none,0,1532,1,12,0,3,1,0,3,0,0,0,0,10,0,9,0,9,0,2,0,0,0,0,23,10,0,1,0,0
3961246,none,0,202,3,2,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,1,0
7979179,none,0,127,0,1,1,13,0,2,0,1,0,0,0,0,1,0,1,0,4,0,2,0,0,0,20,17,0,0,1,0
7674551,none,0,178,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,1,0
4553122,none,0,43,4,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0
7782013,none,0,615,1,1,1,3,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,1,1,0
7484147,none,1,17,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,1,0
4345368,none,0,93,1,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,0,1,0
7473205,none,1,15,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0
8039190,none,0,1054,0,1,1,13,0,2,0,1,0,0,0,0,1,0,1,0,4,0,2,0,0,0,20,17,0,0,1,0
8976668,none,0,100,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0
8566692,none,0,1730,3,1,7,11,1,1,0,7,2,1,0,0,1,0,0,0,1,0,1,0,0,0,8,1,0,0,1,0
3743029,none,0,69,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0
7580470,none,0,1395,6,6,4,20,3,2,3,4,0,0,0,4,0,0,0,0,5,0,1,0,0,0,27,8,0,1,1,0
7107337,none,0,680,2,6,8,13,3,3,2,8,0,0,1,3,0,0,0,1,3,0,2,0,0,0,12,2,0,0,1,0
7909952,none,0,106,7,1,4,6,1,3,3,4,1,1,0,0,0,0,2,0,3,0,0,0,0,0,16,9,0,0,1,0
7528643,none,1,82,3,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1,0
5604954,none,0,44,2,1,2,5,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,1,1,0
6964408,none,0,193,1,1,2,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,1,0
7345031,none,0,399,3,8,13,22,2,2,1,13,1,3,2,3,1,0,0,2,2,0,4,0,0,0,51,1,0,1,1,0
6850124,none,1,87,5,1,5,7,0,0,2,5,0,0,0,0,0,0,2,0,3,0,0,0,0,0,34,1,0,1,1,0
7720540,none,0,41,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0
7602224,none,0,121,3,3,9,14,0,3,1,9,1,1,0,0,0,1,0,2,3,2,2,0,0,0,12,1,0,0,1,0
6782933,none,0,173,1,2,8,19,1,7,1,8,0,0,0,0,0,0,2,3,8,1,1,1,0,0,24,10,0,0,0,0
8916223,none,0,64135,1,3,4,10,1,3,0,4,2,1,0,0,0,2,0,0,3,0,1,0,0,0,11,1,0,0,1,0
5788107,none,0,531,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,1,0
7641912,none,0,51,1,1,6,6,0,0,0,6,1,3,0,0,0,0,2,0,0,0,0,0,0,0,17,1,0,0,1,0
4298660,none,0,289,1,3,0,6,0,1,1,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,26,1,0,1,1,0
5232497,none,0,79,2,11,17,31,0,4,1,17,3,6,3,3,0,0,4,0,4,1,4,0,0,0,39,1,2,0,1,0
7627967,none,0,687,2,4,3,12,2,1,2,3,0,0,1,2,0,0,1,0,2,0,3,0,0,0,26,9,0,1,1,0
3739360,none,0,535,7,4,11,22,1,4,1,11,4,3,0,1,1,0,0,0,6,0,2,0,0,0,26,1,0,0,1,0
6212333,none,0,76,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,1,0
8673459,none,0,775,1,2,2,4,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0,1,1,0
5449838,none,0,389,7,1,1,3,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,1,0,0,1,0
5412639,none,0,45,2,2,5,9,1,0,0,5,0,0,1,0,0,0,1,0,1,0,1,0,0,0,8,1,0,0,1,0
4265826,none,0,1173,1,1,2,3,1,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,1,1,0
5535647,none,0,56,4,2,2,8,1,0,1,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,30,65536,0,1,1,0
4634029,none,0,99,0,2,1,7,1,1,0,1,0,0,1,0,0,0,0,0,2,2,1,0,0,0,10,1,0,1,1,0
4546223,none,0,307,1,2,4,9,0,1,1,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,1,1,0,1,0
4386725,none,0,90,2,3,6,4,0,0,0,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,11,2,0,0,1,0
7301073,none,1,56,4,1,4,5,0,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,0,1,0
5366640,none,1,223,10,10,27,56,0,10,2,27,3,3,0,3,3,0,12,0,15,4,3,0,0,0,54,1,4,0,1,0
8625002,none,0,302,6,4,2,4,2,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,8,1,0,1,1,0
8934890,none,0,348,4,1,1,6,1,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,0,1,0
8049687,none,0,23465,1,3,6,19,2,1,0,6,1,129,0,0,1,0,0,0,1,0,3,0,0,0,26,17,0,0,1,0
7587149,none,0,207,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0
7400506,none,0,320,3,2,4,11,2,1,2,4,2,1,0,1,0,0,0,2,1,1,1,0,0,0,12,1,0,0,1,0
9519320,none,0,8410,3,1,1,4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0
7294667,none,0,162,2,2,3,9,2,1,1,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,12,2,0,0,1,0
4140046,none,0,698,2,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0
9245741,none,0,1017,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0
7520782,none,0,84,4,2,2,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0
4232438,none,0,99,3,3,9,13,0,2,1,9,2,2,0,0,0,0,1,1,2,0,2,0,0,0,35,1,0,1,1,0
7495599,none,0,1579,3,1,2,3,1,0,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0
5843392,none,1,477,0,2,0,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,1,1,0
8845205,none,0,40914,1,2,1,5,1,1,1,1,1,1,0,1,0,0,2,0,1,1,1,0,0,0,26,9,0,1,1,0
8934244,none,0,132160,2,4,2,12,2,0,1,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,27,1,0,1,1,0
6823557,none,0,125979,3,58,11,49,2,4,0,11,1,3761,1,29,1,15,0,8,6,0,6,0,0,0,94,17,0,0,1,0
9094331,none,1,182,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0
9421769,none,0,390,4,2,0,10,1,1,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,13,1,0,0,0,0
4613952,none,0,12562,2,5,4,11,3,3,2,4,0,0,1,0,0,0,0,0,3,0,2,0,0,0,30,9,0,1,1,0
6455346,none,0,279,5,6,7,16,0,3,4,7,1,1,0,0,0,4,0,1,5,3,3,0,0,0,25,2,0,0,1,0
9224077,none,0,909,2,2,2,9,2,1,2,2,2,20,0,1,0,0,0,0,1,0,1,0,0,0,11,2,0,0,0,0
7359431,none,0,78,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0
5476379,none,0,82,2,3,6,10,1,1,1,6,1,1,1,1,0,0,0,0,1,0,2,0,0,0,10,1,0,0,1,0
7379790,none,0,89,2,5,9,17,5,3,1,9,0,0,0,2,0,0,0,0,2,0,1,0,0,1,11,1,0,0,1,0
5422127,none,0,59,4,12,4,51,1,4,3,4,0,0,0,4,0,0,4,11,10,5,5,0,0,0,23,1,0,0,1,0
5548181,none,0,3749,5,2,5,15,3,3,2,5,1,1,0,1,0,0,0,0,3,0,2,0,0,1,30,0,0,1,1,0
4106696,none,1,33,3,1,0,6,0,0,4,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,15,1,0,0,1,0
8579381,none,0,45,0,2,2,11,1,2,2,2,0,0,0,1,0,0,0,2,3,0,1,0,0,0,10,1,0,0,1,0
9371099,none,0,236,1,1,5,5,1,1,1,5,2,1,0,0,0,1,1,2,1,4,0,0,0,0,15,1,0,0,0,0
8051310,none,0,24,3,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,1,0
6610938,none,0,1322,0,1,1,13,0,2,0,1,0,0,0,0,1,0,1,0,4,0,2,0,0,0,21,17,0,0,1,0
3921684,none,0,13636,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0
8025955,none,1,28,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0
8195306,none,1,47,2,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,1,0
8819009,none,0,81728,1,1,1,5,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,0,1,0
4798652,none,0,58,2,1,3,6,1,2,0,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,0,1,0
5319003,none,0,652,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0
3871308,none,0,85,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,1,0
5958765,none,0,210,2,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
4737348,none,1,85,10,1,2,12,0,0,11,2,1,1,0,0,0,0,0,0,8,0,0,0,0,0,24,1,0,0,1,0
8350294,none,0,10,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0
7294696,none,0,91,4,1,3,6,1,2,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,0,1,0
6864294,none,0,100,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,1,0
5904841,none,0,286,3,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,0
4897642,none,0,167,2,1,1,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0
8231238,none,0,217,1,3,1,11,3,0,1,1,1,0,0,1,0,0,0,2,0,1,1,0,0,0,35,1,0,1,1,0
4217515,none,0,205,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,1,1,0
8844288,none,0,111,4,2,2,12,1,1,2,2,1,1,0,0,1,0,1,0,1,0,2,0,0,1,25,2,0,0,1,0
7517076,none,0,134,2,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0
8834964,none,0,294,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,0,0,1,0
7277838,none,0,128,2,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,1,0
3897308,none,0,29291,5,3,2,9,2,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,1,0
7496171,none,0,226,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,0,1,1,0
4336972,none,0,513,3,2,2,5,2,1,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,18,1,0,1,1,0
7023392,none,0,3181,15,5,10,17,1,3,13,10,4,1,0,0,0,0,16,0,3,0,2,0,0,0,19,1,0,0,1,0
8574527,none,0,53,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0
